"21999A",3.16,3.83,4.16,3.50,3.66,3.66,3.33,4.16,3.83,3.16,3.66,3.33,2.50,3.00,2.33,2.66,3.00,3.66,2.83,3.33,3.33,2.83,3.66,3.66,3.16,3.83,4.00,3.16,4.33,3.83,3.00,3.33,3.66,3.33,4.00,5.33,2.83,3.83,3.00,2.16,2.66,2.66,3.00,3.00,3.83,2.00,1.50,1.50,3.00,3.66,2.33,2.00,2.00,1.66,4.00,5.00,5.66,1.00,1.00,0.00,2.33,3.16,2.83,3.50,4.16,3.83,1.16,1.16,0.50,2.33,3.16,2.83,3.16,4.33,3.66,2.66,2.83,3.33,3.16,4.50,5.00,2.16,3.00,3.16,2.50,2.66,3.33,1.16,1.16,0.83,2.00,2.33,2.33,1.33,2.00,1.83,1.50,1.50,0.83,3.00,3.50,3.66,1.50,1.83,1.83,1.83,2.16,1.66,2.00,2.50,2.16,1.50,2.16,1.50,3.50,4.66,4.33,2.33,2.16,2.33,1.33,1.33,1.50,2.66,3.50,3.50
"21999B",4.00,5.00,6.00,3.16,4.00,4.50,2.50,3.00,3.33,1.66,1.83,1.50,1.83,2.33,2.00,2.83,3.50,3.66,3.00,4.00,3.83,3.50,4.33,3.83,3.83,4.66,4.50,3.00,3.66,3.83,2.83,3.50,3.50,2.50,3.50,3.83,2.50,3.33,3.16,2.00,2.16,2.16,3.33,4.16,4.50,2.16,1.83,1.50,2.16,1.66,1.66,1.50,1.50,1.00,2.00,2.00,1.50,1.00,1.00,0.16,1.16,1.16,0.50,2.50,3.16,1.83,1.00,1.00,0.00,1.00,1.00,0.00,3.16,3.83,3.50,3.50,4.33,3.66,3.83,4.83,5.16,3.50,4.50,5.33,3.33,3.50,4.00,2.50,2.16,2.16,2.00,2.33,2.50,2.16,3.16,2.83,1.83,2.50,3.33,1.83,2.16,2.16,1.33,1.50,0.66,1.50,1.66,1.00,1.50,1.33,1.16,1.66,2.00,1.16,3.66,4.50,4.16,3.16,3.50,3.33,1.00,1.16,0.83,1.16,1.50,1.50
"21999C",3.16,3.83,3.50,2.50,3.16,3.16,3.00,3.33,2.50,2.16,2.33,1.66,2.33,2.83,1.83,2.66,3.00,2.66,2.83,3.50,2.50,3.16,3.83,2.83,3.33,4.16,2.66,3.00,3.66,2.33,2.50,3.00,2.16,2.50,2.66,2.16,2.50,3.16,1.83,3.16,3.66,3.33,2.83,3.50,3.16,2.33,2.16,1.66,2.66,3.00,2.00,1.50,1.50,1.00,3.00,3.66,2.33,1.00,1.00,0.00,1.16,1.33,0.33,2.66,3.50,2.33,1.00,1.16,0.33,1.16,1.16,0.50,3.33,3.33,2.66,3.00,3.83,2.66,3.33,4.33,4.00,2.83,3.33,3.00,3.16,3.66,4.00,2.16,2.83,2.16,1.66,2.16,1.83,1.83,2.33,2.33,1.50,2.00,1.50,2.83,3.83,2.50,1.66,2.00,1.33,2.33,3.16,2.16,1.50,1.50,1.00,2.00,2.00,1.33,2.00,3.00,2.33,4.00,5.00,3.66,1.66,1.83,1.50,3.00,3.83,3.50
"21999D",3.33,4.50,4.83,3.33,4.16,4.16,1.83,2.33,1.66,2.16,2.50,2.00,2.66,3.16,2.33,3.33,3.83,3.50,3.33,4.33,3.66,3.16,3.16,3.33,3.16,3.66,3.33,3.33,4.33,4.00,2.00,2.33,1.83,2.66,3.00,2.50,1.50,1.66,1.00,1.66,1.83,1.16,2.83,3.50,3.33,2.33,2.33,2.00,2.33,1.83,1.66,1.33,1.33,0.33,1.83,1.50,1.33,1.16,1.16,0.83,2.33,2.66,1.66,2.83,3.00,2.33,1.00,1.00,0.00,1.00,1.00,0.00,3.16,3.66,2.50,2.00,2.33,1.66,2.66,3.33,3.33,3.66,4.50,4.50,3.33,3.83,4.16,1.66,1.33,1.16,2.83,3.83,3.50,3.50,4.83,4.83,2.66,2.83,2.33,2.00,1.83,1.50,1.33,1.00,0.33,1.33,1.00,0.83,1.33,1.00,0.33,1.33,1.00,0.50,3.00,4.00,3.33,3.33,4.33,4.16,1.16,1.16,0.66,2.50,2.83,2.83
"21999F",3.16,3.83,4.16,2.83,3.50,3.50,2.50,3.00,2.83,2.66,3.00,2.66,3.16,3.50,2.50,2.66,2.66,2.33,2.33,2.83,2.33,2.33,3.00,2.33,2.33,2.83,2.50,3.33,4.33,2.83,2.16,2.66,3.00,1.83,2.00,1.83,2.33,2.83,1.83,3.66,4.50,5.33,3.83,4.66,5.33,2.33,2.00,2.16,1.83,1.83,2.16,1.16,1.33,1.00,1.66,1.66,1.16,1.16,1.16,0.33,1.83,2.16,1.16,2.83,3.50,2.33,1.00,1.00,0.33,1.16,1.16,0.33,2.00,2.16,1.83,1.83,1.83,1.50,3.33,4.33,4.50,3.50,4.33,4.50,3.66,4.33,4.33,1.83,2.16,2.00,2.50,2.83,2.83,2.50,2.66,3.50,2.50,2.66,2.83,3.83,4.50,4.50,3.00,3.33,3.16,1.83,2.16,2.33,3.00,3.50,4.16,2.16,2.50,2.50,2.00,2.16,2.16,3.16,3.50,3.16,1.83,1.83,1.33,2.83,3.83,4.16
"21999G",3.83,4.83,5.33,3.33,4.16,4.66,3.50,4.33,4.00,2.16,2.33,1.83,3.16,4.00,3.16,3.33,4.33,4.16,3.16,4.00,4.16,3.33,3.83,3.83,3.16,4.00,4.33,3.33,4.00,4.00,2.66,3.50,3.50,2.66,3.50,3.16,2.83,4.00,3.50,2.33,2.50,2.50,3.00,4.00,4.50,1.83,1.50,1.83,1.83,1.50,1.50,1.16,1.16,0.50,2.00,2.16,2.16,1.00,1.00,0.00,1.33,1.66,1.16,3.83,4.00,3.16,1.00,1.00,0.00,1.00,1.00,0.00,3.66,4.16,4.16,2.16,2.83,2.16,3.66,4.50,5.16,3.50,4.33,5.00,2.83,3.50,4.16,1.66,1.83,1.16,3.16,4.00,4.66,2.16,2.83,3.33,1.83,2.16,1.66,3.33,3.66,3.50,2.00,2.50,2.50,2.16,2.33,1.83,2.50,2.83,2.50,2.00,2.33,2.00,3.50,4.50,3.83,3.16,4.16,4.00,1.50,1.83,2.33,3.33,4.16,4.50
"21999H",3.50,4.00,3.16,3.50,4.33,3.66,2.83,3.16,2.00,2.00,2.16,1.16,3.50,3.83,2.00,2.66,3.16,2.66,4.00,5.00,3.33,3.83,4.50,2.83,2.33,2.66,2.16,2.83,3.50,2.66,2.00,2.16,1.83,2.50,3.33,2.50,1.50,1.50,0.83,1.50,1.83,1.16,2.66,2.66,2.50,2.00,1.83,1.66,2.33,2.83,2.33,1.33,1.50,0.83,1.33,1.66,1.16,1.00,1.00,0.16,1.00,1.00,0.16,1.83,2.00,1.50,1.00,1.00,0.00,1.00,1.00,0.00,4.00,5.00,3.00,3.00,3.50,3.00,2.66,3.00,3.33,3.16,3.83,3.83,2.16,2.16,2.33,2.16,2.16,1.83,1.50,1.66,1.33,2.00,2.83,2.83,3.33,4.00,3.16,1.50,1.83,1.00,1.16,1.00,0.50,1.16,1.00,0.50,1.50,1.33,1.16,1.16,1.00,0.66,2.66,3.00,2.83,3.16,3.83,2.66,1.00,1.00,0.66,2.16,3.00,2.83
"22102",3.50,4.66,6.00,3.16,4.50,6.00,3.16,4.50,5.50,3.16,4.33,5.83,2.83,3.50,4.16,2.83,3.50,4.66,3.00,4.33,5.16,3.33,4.33,6.50,3.33,4.16,6.00,3.16,4.16,5.66,3.16,4.33,5.83,3.00,4.33,6.50,2.50,3.16,4.00,2.00,2.16,2.16,2.83,3.66,4.50,2.16,2.83,2.33,2.16,3.00,2.33,2.16,2.16,2.66,3.00,3.66,4.83,1.33,1.50,0.66,2.66,4.33,5.50,2.83,3.66,4.66,1.50,1.50,2.50,1.83,1.83,1.83,3.00,3.66,5.16,3.16,4.00,5.66,2.83,3.83,5.50,2.50,3.50,5.33,2.50,2.66,3.16,1.33,1.33,0.83,1.66,1.83,1.83,1.83,2.33,2.66,1.50,1.50,1.16,2.33,3.00,4.16,2.33,2.66,3.50,2.00,2.50,3.50,2.16,2.33,3.50,2.00,2.00,3.00,2.66,4.16,5.33,2.16,2.50,2.83,1.33,1.33,1.16,2.50,2.83,3.83
"22105A",3.40,4.60,5.00,3.40,4.00,4.60,3.40,4.00,4.00,3.20,3.80,3.40,2.80,3.60,3.40,3.20,3.60,4.20,2.80,3.20,3.40,3.00,3.60,3.80,3.40,4.20,4.40,3.00,3.80,3.80,3.00,3.80,4.40,2.80,3.80,4.00,3.00,3.40,3.20,2.60,3.20,3.20,3.20,4.00,4.60,2.60,2.80,2.40,2.60,3.40,3.20,2.60,3.60,3.20,2.20,2.80,2.00,1.00,1.00,0.60,3.00,4.00,4.40,3.00,4.00,4.00,1.80,1.80,2.40,1.40,1.60,1.20,3.20,3.80,3.60,2.80,3.40,3.80,3.00,4.00,5.60,2.00,2.60,3.20,2.80,3.20,3.20,2.40,2.40,2.20,1.60,2.20,2.80,1.40,1.80,2.00,1.00,1.00,0.40,3.00,4.00,4.00,2.60,3.00,3.00,2.00,2.80,3.00,2.40,2.60,2.60,2.20,2.40,2.20,2.60,3.40,3.80,2.40,3.00,2.60,1.00,1.00,1.20,1.40,1.80,2.20
"31222",3.16,3.83,5.00,2.00,2.66,2.66,2.16,2.50,3.00,1.66,1.83,2.33,2.33,2.66,2.50,2.50,3.00,3.50,2.16,2.83,3.16,2.50,3.16,4.33,2.33,3.00,4.83,2.16,2.83,3.50,2.16,2.50,2.83,2.33,3.50,4.00,2.16,2.83,3.16,2.16,2.83,2.50,2.50,2.83,3.33,2.00,1.66,2.00,2.33,2.33,2.50,1.50,1.50,1.66,2.16,2.83,2.33,1.00,1.00,0.16,1.50,2.00,2.00,2.16,3.00,3.00,1.33,1.16,1.16,1.33,1.33,1.33,2.16,3.00,3.33,2.66,3.83,4.00,3.16,3.83,4.50,2.83,3.33,3.83,2.83,3.00,3.50,1.83,2.16,2.00,1.16,1.00,1.00,1.33,1.00,1.16,1.66,2.00,2.50,2.16,2.16,2.33,1.83,2.00,2.00,3.66,5.00,5.66,2.33,2.66,2.83,2.66,3.66,4.50,2.00,3.00,4.00,1.66,1.83,2.33,1.00,1.00,0.33,1.50,1.50,1.50
"31224",3.16,4.16,5.00,2.00,2.66,2.66,2.50,2.83,3.16,1.16,1.16,0.33,2.16,2.66,2.50,2.33,3.50,3.83,2.16,2.66,3.16,2.50,2.83,4.16,2.33,2.83,4.83,2.33,3.00,3.66,2.16,2.66,2.66,2.50,3.66,4.50,2.16,2.83,3.16,1.83,2.50,2.00,2.83,3.50,3.50,1.83,1.66,1.83,2.00,1.83,2.33,1.00,1.00,0.83,2.00,2.66,2.33,1.00,1.00,0.16,1.33,1.16,1.00,2.50,3.83,3.50,1.00,1.00,0.16,1.33,1.16,0.83,2.16,2.83,3.33,2.83,4.00,4.00,3.16,3.83,4.33,2.66,3.66,3.66,2.83,3.00,3.66,1.66,2.00,2.33,1.16,1.00,1.00,1.16,1.16,1.16,1.83,2.50,2.66,2.33,2.83,2.50,1.83,2.16,2.33,3.33,5.00,5.66,2.50,3.16,3.50,2.50,3.66,4.33,2.16,3.00,4.33,2.00,2.16,2.33,1.00,1.00,0.33,1.50,1.83,1.83
"31226",3.16,4.66,6.00,2.50,3.33,3.50,2.33,3.00,3.66,1.66,2.00,1.50,2.33,2.50,2.66,2.33,3.16,4.00,2.50,3.50,3.16,2.66,3.33,4.50,2.66,3.33,4.66,2.50,3.33,3.33,2.33,3.16,4.50,3.00,4.50,5.83,2.16,2.33,2.33,2.00,2.16,2.00,2.33,3.00,3.50,1.66,1.66,1.16,2.50,3.00,3.50,1.33,1.83,1.00,3.16,4.16,4.50,1.00,1.00,0.00,1.33,1.66,1.50,2.16,2.50,2.83,1.00,1.00,0.00,1.33,1.50,1.00,2.50,2.83,3.33,3.00,3.50,4.16,2.66,3.33,4.00,2.66,3.83,5.50,2.83,3.00,3.83,2.00,2.16,2.00,1.83,1.83,2.00,1.66,1.83,1.66,2.00,2.50,2.66,2.16,2.33,2.83,2.00,2.00,2.00,3.83,5.00,6.00,2.16,2.66,2.66,2.50,3.33,4.33,2.33,3.33,5.00,2.16,2.33,2.50,1.16,1.16,0.33,1.50,1.66,1.16
"31303",3.16,4.00,4.16,3.00,3.50,3.33,3.33,3.83,3.33,2.33,2.50,1.83,2.50,3.16,2.33,2.66,3.16,2.83,2.50,3.00,2.83,2.50,3.16,2.33,2.66,3.50,3.16,2.33,3.50,3.00,3.33,4.33,3.83,2.66,3.50,3.50,2.66,3.66,2.66,3.33,3.83,3.33,3.33,4.33,4.33,3.16,4.16,3.66,2.83,3.66,3.33,1.16,1.50,0.50,2.00,2.33,1.83,1.33,1.83,0.83,1.33,1.50,0.50,2.66,3.66,2.83,1.16,1.50,0.83,1.33,1.33,1.33,2.66,4.00,3.16,2.83,3.16,2.50,3.16,3.83,3.50,2.83,3.66,3.83,3.66,4.33,4.16,3.33,4.50,4.50,2.66,2.83,2.50,2.66,3.83,3.83,2.33,2.66,2.50,3.00,3.83,3.50,2.50,3.00,2.66,3.83,4.83,3.83,2.33,2.83,2.50,2.66,3.16,3.00,2.50,3.33,3.00,2.50,3.33,2.83,1.00,1.00,0.33,2.83,3.50,3.00
"31304",3.50,4.66,4.83,3.00,3.66,3.66,3.16,4.16,3.33,2.00,2.33,1.50,2.00,2.33,1.66,3.16,3.83,3.50,2.33,2.83,2.66,2.66,3.16,2.66,2.66,3.83,3.33,2.83,3.50,2.83,3.16,4.33,3.83,2.83,4.00,3.66,3.00,4.00,2.83,3.00,3.33,2.66,3.50,4.33,4.16,3.16,3.83,3.50,2.66,3.16,2.66,1.66,1.66,1.16,2.00,2.50,1.66,1.00,1.00,0.16,2.00,2.16,1.33,2.83,3.50,2.33,1.16,1.16,0.83,1.50,1.50,1.16,2.83,4.33,3.00,3.00,4.16,2.66,3.16,3.83,3.83,2.83,4.16,4.00,3.33,4.33,4.33,3.16,4.50,4.00,2.33,2.66,2.16,2.50,4.00,3.66,2.83,4.16,3.33,2.83,3.33,2.66,2.83,3.50,2.83,3.50,4.66,3.50,2.00,1.83,1.33,3.16,3.83,3.33,2.66,3.50,3.33,2.66,3.33,2.16,1.00,1.00,0.50,2.50,2.66,2.66
"31305",3.33,4.33,5.00,3.16,4.00,4.00,3.33,4.00,4.00,2.16,2.50,1.83,2.16,2.66,2.33,3.16,4.16,4.16,3.16,4.16,3.33,3.16,4.16,3.50,3.00,4.16,3.66,2.83,3.50,3.33,3.33,4.33,4.33,3.00,4.33,4.83,3.33,4.33,3.50,3.00,3.66,3.50,3.33,4.16,4.50,2.83,3.00,3.00,2.66,3.00,3.16,1.50,2.00,1.66,2.50,3.16,2.50,1.33,1.33,0.66,1.33,1.50,1.00,3.00,3.33,3.33,1.33,1.50,0.83,1.66,1.66,1.50,3.16,3.83,3.00,3.16,4.33,2.83,3.16,4.16,4.00,2.83,4.16,4.00,3.83,4.50,4.33,3.33,4.33,4.00,2.16,2.50,2.33,2.83,4.16,3.66,2.66,3.00,2.66,2.83,3.50,3.00,3.00,3.66,3.50,3.83,4.66,4.00,2.83,3.50,3.16,3.33,4.16,4.33,2.33,3.16,3.50,3.00,4.16,2.83,1.16,1.16,0.33,2.50,3.16,2.50
"31308",3.16,4.16,4.66,2.83,3.16,3.50,2.66,3.00,3.16,1.50,1.50,1.33,2.16,2.33,2.00,3.00,3.50,3.83,2.83,3.33,3.00,3.33,3.83,3.50,2.83,3.33,3.83,3.16,3.66,3.33,2.50,3.66,3.33,2.66,4.00,4.00,2.66,3.50,2.50,2.33,2.16,2.16,2.83,3.33,3.66,2.33,2.33,2.16,2.50,2.83,2.50,1.16,1.33,0.83,2.16,2.16,2.00,1.00,1.00,0.00,1.16,1.00,0.33,2.33,3.33,3.16,1.16,1.16,0.66,1.16,1.16,1.00,3.33,3.83,2.83,3.16,3.83,3.50,3.16,3.50,3.66,3.16,4.33,4.00,3.16,3.66,4.16,2.83,3.50,3.83,2.16,2.83,2.00,2.33,2.83,2.50,3.00,3.33,3.50,2.16,2.16,2.00,2.33,3.00,2.33,3.83,4.83,4.00,2.16,2.50,2.66,2.66,3.16,3.00,3.16,3.33,3.33,2.83,3.16,2.16,1.00,1.00,0.33,2.00,2.66,2.16
"31311A",3.16,3.83,4.16,3.00,3.16,3.50,2.16,2.66,2.50,1.50,1.50,0.66,1.83,2.00,2.00,2.50,3.33,3.66,2.00,2.16,2.00,2.00,2.66,2.50,2.16,2.50,2.50,2.83,3.50,3.00,2.33,2.33,2.50,2.16,2.33,3.00,2.83,3.00,3.00,2.66,2.83,2.50,2.50,2.66,3.66,2.00,1.83,2.00,2.00,1.83,1.66,1.66,1.50,1.00,1.83,2.16,1.66,1.16,1.16,0.16,1.00,1.00,0.00,2.66,3.33,3.00,1.16,1.33,0.50,1.16,1.33,0.50,2.00,2.00,2.00,2.66,3.00,2.33,2.66,3.33,4.16,2.83,3.83,4.33,3.33,4.00,4.00,3.33,3.83,4.00,2.00,2.33,2.33,2.00,2.50,2.50,3.00,3.33,3.00,2.66,3.00,2.83,2.66,2.83,2.83,3.50,4.33,4.00,2.16,2.33,2.33,3.16,3.83,3.66,3.33,4.16,3.00,2.00,1.83,1.83,1.66,1.83,1.33,1.83,1.66,1.83
"31311B",3.00,4.00,4.50,3.00,3.66,3.83,2.83,3.66,3.66,1.16,1.16,0.66,2.00,2.50,2.50,2.66,3.16,3.83,2.50,3.00,3.16,2.66,3.33,3.50,3.00,3.50,3.83,3.33,4.16,4.00,2.50,3.66,3.16,2.66,3.50,4.00,2.50,2.83,2.83,2.33,2.50,2.00,2.66,3.16,3.50,2.33,2.50,2.00,2.33,2.83,2.66,1.33,1.33,0.83,1.83,1.83,1.83,1.00,1.00,0.00,1.16,1.00,0.33,2.83,3.66,3.66,1.00,1.00,0.16,1.00,1.00,0.33,2.66,3.33,3.16,3.00,4.16,3.33,3.16,3.66,3.83,2.66,4.00,3.16,3.50,4.16,4.16,3.33,3.83,4.33,1.83,2.00,1.50,2.33,2.50,2.00,2.66,3.33,4.00,2.00,2.66,2.16,2.16,2.16,2.00,3.66,4.66,4.00,2.16,2.66,2.50,3.00,3.50,3.50,2.83,3.33,3.33,2.33,3.00,2.33,1.00,1.00,0.33,1.33,1.50,1.16
"31311C",3.33,4.33,5.00,3.16,3.33,3.83,2.83,3.00,3.00,1.83,2.50,2.16,2.16,2.33,2.50,2.66,3.16,3.83,2.50,2.83,3.16,2.83,3.50,3.83,2.83,3.33,3.66,2.83,3.66,3.83,2.33,3.50,3.33,2.50,3.66,4.16,2.16,3.00,2.66,2.50,2.66,2.50,2.66,3.16,3.50,2.16,2.16,2.16,2.50,2.83,2.33,1.66,1.66,1.33,2.33,2.66,2.16,1.00,1.00,0.00,1.66,2.00,1.16,2.83,3.50,3.16,1.50,1.50,1.00,1.83,2.00,1.66,2.66,3.33,2.66,3.16,4.33,4.33,3.16,3.66,4.16,2.83,3.66,4.16,3.33,3.83,4.33,3.33,3.83,4.16,1.83,2.16,2.00,2.33,2.66,3.00,3.33,3.66,4.00,2.33,2.50,2.33,2.83,3.16,2.66,3.66,4.66,4.50,2.50,3.00,3.33,3.00,3.50,4.33,2.50,2.83,3.00,2.33,2.66,2.16,1.00,1.00,0.16,1.66,2.16,1.50
"31311D",3.16,4.33,4.66,3.16,3.83,4.50,2.33,3.00,3.66,1.16,1.16,0.50,1.83,2.00,1.83,3.00,3.50,4.50,2.50,2.50,3.00,2.83,3.16,3.83,3.00,3.50,4.00,3.00,3.66,4.16,1.83,2.16,1.83,2.66,3.33,4.16,2.16,2.33,2.66,2.00,1.83,1.83,2.33,2.66,3.33,1.83,2.00,1.83,2.16,2.16,1.83,1.16,1.16,0.66,2.16,2.16,2.00,1.00,1.00,0.00,1.00,1.00,0.00,2.33,2.66,3.00,1.00,1.00,0.00,1.00,1.00,0.00,2.66,3.16,3.00,2.83,3.83,4.00,2.83,3.50,4.16,2.66,3.66,4.16,3.00,3.33,4.16,2.50,2.66,3.33,2.16,2.16,1.83,2.00,2.00,1.66,2.33,2.66,2.66,1.66,1.83,1.33,1.66,1.50,1.50,2.16,2.66,3.16,1.33,1.50,0.83,2.16,2.33,2.83,3.00,3.50,3.83,2.16,2.33,2.16,1.00,1.00,0.16,1.16,1.33,0.50
"31311E",2.83,4.33,4.50,2.50,3.50,4.33,2.16,3.50,4.00,1.16,1.16,0.33,2.33,2.83,2.66,2.83,3.66,4.16,2.00,2.50,3.00,1.83,2.00,1.83,2.16,3.00,3.66,2.83,4.16,4.00,2.16,2.83,2.83,2.00,3.00,3.50,2.66,3.66,3.16,2.16,3.00,2.16,2.83,3.16,3.66,2.16,2.33,2.33,1.83,2.00,2.00,1.33,1.50,0.66,1.66,1.66,1.50,1.00,1.00,0.16,1.16,1.16,0.16,2.83,3.83,3.33,1.00,1.00,0.00,1.33,1.33,1.00,2.00,2.83,2.83,2.66,3.33,3.16,2.16,2.66,3.00,3.00,4.16,4.00,3.16,3.66,4.16,3.16,4.00,5.00,1.33,1.66,1.83,1.33,1.33,1.83,2.16,2.66,2.66,1.83,2.33,2.16,1.50,1.50,1.00,3.33,4.33,4.83,1.33,1.33,0.66,3.16,4.33,3.50,2.16,3.16,3.50,1.50,1.66,1.66,1.00,1.00,0.16,1.50,1.50,1.00
"31314",3.60,4.40,5.60,3.20,3.60,3.80,3.20,3.80,3.80,2.20,2.80,2.60,2.20,2.80,2.60,2.80,3.80,3.60,2.60,3.20,3.20,3.00,3.40,3.00,3.00,3.40,3.60,2.80,3.40,3.60,2.80,3.80,4.40,3.00,4.40,4.20,2.80,3.80,3.00,3.00,4.00,3.60,3.00,3.80,4.00,2.40,2.60,2.60,2.20,2.60,2.80,2.00,2.80,2.60,2.20,2.80,2.80,1.20,1.20,0.60,1.80,1.80,2.00,3.40,3.80,3.80,1.20,1.20,1.80,1.40,1.40,1.60,3.20,3.80,2.60,3.40,4.20,3.40,2.60,3.00,4.00,3.40,3.80,4.60,3.00,3.80,3.80,2.80,3.80,4.00,2.00,2.20,2.40,2.00,2.00,2.40,2.60,2.80,3.00,2.40,2.80,2.80,2.00,2.00,2.20,3.80,4.80,5.00,1.80,2.00,1.60,2.80,3.40,3.20,2.20,2.40,3.40,2.60,2.60,2.40,1.20,1.40,0.60,2.00,2.20,2.00
"31317",3.60,4.40,5.60,3.20,3.80,4.20,3.20,4.00,4.20,2.00,2.20,2.20,2.80,3.60,3.60,3.00,3.60,4.00,3.20,3.60,3.40,3.20,3.60,3.40,3.20,3.60,4.20,3.20,4.00,4.20,3.00,4.00,4.20,3.20,4.00,4.60,3.00,3.60,3.80,3.00,4.00,4.40,3.20,3.80,4.60,2.60,2.40,2.40,2.40,2.40,2.20,1.80,1.80,1.60,2.00,2.40,1.60,1.40,1.60,0.80,1.60,1.60,1.60,3.20,3.80,4.20,1.20,1.20,0.80,1.20,1.20,0.60,3.00,3.80,3.00,3.40,4.20,4.00,3.00,3.60,4.20,3.20,4.40,4.60,3.60,4.40,4.40,3.00,4.20,4.00,2.20,2.60,2.60,2.00,2.40,2.40,3.00,3.40,4.00,2.80,3.20,3.80,2.00,2.40,2.40,3.80,5.00,5.40,2.80,3.40,2.80,3.40,4.40,4.60,2.60,3.40,3.80,2.80,3.20,2.60,1.00,1.00,0.40,2.40,3.00,3.40
"31321",3.00,3.50,3.00,3.00,3.50,3.16,3.16,3.66,2.83,2.33,3.00,2.33,2.33,2.50,2.00,2.83,3.33,2.83,2.50,2.83,3.00,2.16,2.50,2.33,2.33,3.00,2.66,2.66,3.33,3.00,2.50,3.16,3.00,2.66,3.16,2.66,2.66,3.16,2.66,2.83,3.16,3.00,2.83,3.33,3.66,3.16,4.33,4.66,2.83,3.33,4.00,1.66,1.66,1.33,1.83,2.00,1.83,1.00,1.00,0.66,1.83,2.16,1.16,3.00,3.83,2.66,1.66,1.66,1.66,1.50,1.50,1.00,2.66,3.16,2.33,2.83,4.00,2.50,2.83,3.66,3.33,2.66,3.50,3.83,3.50,4.66,4.16,2.50,3.16,3.00,2.00,2.50,2.66,2.16,3.16,3.66,2.50,2.83,2.66,3.16,3.66,3.66,3.33,4.33,4.00,3.50,4.50,4.00,3.16,4.00,3.50,3.66,4.66,5.66,3.00,4.16,3.66,2.33,3.00,2.50,1.66,1.66,1.50,2.83,3.50,3.16
"31323",3.33,4.16,4.16,3.00,3.83,3.16,2.50,2.66,2.16,1.66,1.83,1.33,2.83,3.50,2.33,2.16,2.66,2.00,2.16,2.33,2.00,2.66,3.16,2.83,2.83,3.66,3.66,2.83,4.00,3.00,2.50,3.16,2.66,2.66,3.16,2.66,2.83,3.50,2.16,2.33,2.66,2.16,3.16,3.66,3.66,2.00,2.16,1.83,2.00,2.33,1.83,1.50,2.00,1.50,1.83,2.33,1.66,1.83,2.16,1.33,1.33,1.66,1.00,3.33,4.50,2.66,1.00,1.33,1.00,1.00,1.16,0.50,2.50,3.16,2.50,2.66,3.33,2.16,2.00,2.16,1.83,3.83,5.00,4.33,3.33,3.83,3.83,2.83,3.50,3.33,2.16,2.83,1.83,1.66,1.83,1.16,2.50,3.33,2.66,1.83,2.33,1.66,1.66,2.00,1.50,2.66,4.00,3.66,1.50,1.66,1.00,3.00,3.83,3.33,3.33,4.66,4.00,2.16,2.33,2.16,1.00,1.16,0.33,1.66,2.33,1.83
"31502A",3.33,4.16,4.16,2.83,3.33,3.00,2.33,2.66,2.00,2.00,2.16,1.83,2.83,3.83,3.00,2.83,3.66,3.50,2.66,3.33,2.66,3.16,4.00,4.00,2.83,3.50,3.00,2.50,3.16,2.66,3.00,3.66,3.00,2.83,3.66,3.16,2.66,3.33,2.83,2.50,3.16,3.16,2.50,3.33,3.16,2.66,2.83,2.66,3.66,4.66,4.00,2.00,2.33,1.50,3.00,4.00,2.16,1.33,1.33,0.33,1.16,1.16,0.50,2.83,3.66,2.66,1.00,1.00,1.00,1.16,1.33,1.33,3.33,4.16,3.33,2.83,3.83,3.33,3.16,4.00,4.00,3.50,4.66,4.33,3.16,4.16,3.66,3.00,3.66,2.66,2.00,2.00,1.66,2.50,2.66,3.33,3.33,4.33,3.50,2.66,3.16,3.33,2.33,2.66,2.33,2.66,3.50,3.50,2.66,3.00,3.33,3.00,3.33,3.50,2.83,4.16,3.50,3.00,3.50,3.50,2.33,2.50,2.50,3.16,3.83,3.83
"31502B",3.83,4.66,4.83,3.00,3.50,3.66,1.33,1.33,0.50,1.00,1.00,0.00,1.50,1.66,1.33,2.66,3.16,3.33,2.50,3.16,3.16,3.16,4.00,4.16,3.16,4.00,4.66,2.16,2.33,2.83,2.16,2.66,2.16,2.83,3.50,4.00,1.33,1.33,0.66,1.16,1.33,0.50,3.16,3.33,3.00,1.50,1.33,1.16,2.00,2.16,2.16,1.00,1.00,0.16,3.00,3.33,2.16,1.00,1.00,0.00,1.00,1.00,0.00,2.66,3.00,2.50,1.00,1.00,0.00,1.16,1.16,0.66,3.00,3.66,2.83,3.00,3.83,4.00,2.50,3.00,3.33,2.83,3.33,3.83,2.33,2.33,2.66,2.16,2.33,2.00,1.16,1.33,0.83,1.16,1.50,0.83,2.00,2.33,2.00,1.16,1.16,0.33,1.16,1.16,0.33,1.50,1.50,0.83,1.00,1.00,0.16,1.00,1.00,0.33,1.50,1.33,1.33,2.16,2.33,1.66,1.00,1.00,0.16,1.16,1.33,0.50
